hnid,school,field_of_study,year
scdoshi,Georgia Institute of Technology,Mechanical Engineering,2010
scdoshi,University of Mumbai,Mechanical Engineering,2007
schauhan,"Shaheed Sukhdev College of Business Studies, Delhi University",Business Administration,2013
schellkenig,Alpen,Computer Science,2013
schellkenig,Alpen-Adria-University Klagenfurt,Computer Science,2013
schlunzi,London School of Economics and Political Science,Social Psychology,1998
schlunzi,Universität der Künste Berlin,Communications,1997
schoenfeld,Harvard University,Economics,2016
schoenfeld,Wharton Business School,Finance,2010
schopra909,Stanford University,Computer Science,2019
scootklein,North Carolina State University,Computer Engineering,2009
scott_liddle,Harvard University,Near And Middle Eastern Studies,2012
scott_liddle,University of Oxford,Classics And Philosophy,2009
scottcara29,Duke University,Computer Science And Mathematics,2014
scotthickmann,Stanford University,Computer Science,2026
scottkabat,University of Pennsylvania,International Relations And History,1994
scottmktn,Northeastern University,"Finance, Computer Science",2020
scottrig,University of Dayton,Computer Engineering,2000
screeley,Rensselaer Polytechnic Institute,Computer Systems And Electrical Engineering,2006
scrombie,"Obafemi Awolowo University,Ile",Computer Engineering,2015
sctt311,Lehigh University,Mechanical Engineering,2006
sctt311,University of Chicago,Finance And Entrepreneurship,2011
sdamashek2,Carnegie Mellon University,Computer Science,2020
sdasari1,Stanford University,Computer Science,2023
sdb85,Yale University,History,2006
sdg3,Princeton University,Electrical Engineering,2022
sdhillon,Stanford University,Computer Science,2010
sdhillon,"University of California, Davis",Computer Engineering,2010
seagull,Yale University,"Computer Science, Applied Mathematics",2017
sean-d-adler,Claremont McKenna College,Computer Science And Economics,2014
sean_lynch,University of Waterloo,Computer Science,2008
seanahrens,Aspen Tech Policy Hub,Technology Policy,2019
seanahrens,"University of California, Berkeley","Business Administration, Computer Science Minor",2009
seanfu,Dalian University of Technology,Computer Science,2008
seanfu,Stanford University,Business Management,2017
seanfu,Tsinghua University,Business Administration And Management,2018
seanhunt1,Massachusetts Institute of Technology,Chemical Engineering Practice,2013
seanhunt1,Massachusetts Institute of Technology,"Chemical Engineering, Finance",2016
seanhunt1,University of Delaware,"Chemical Engineering, Chemistry, Materials Science",2011
seanisom,The University of Texas at Arlington,Studied Computer Science,2013
seanmitchell001,Florida Agricultural and Mechanical University,Business Administration,2009
seanmp,Massachusetts Institute of Technology,Architecture,2018
seanmp,"University of California, Berkeley",Architecture,2012
seanroades2,Harvard University,Computer Science,2023
sebahevia,Pontificia Universidad Católica de Chile,Computer Science,2013
sebastianw,"University of California, Berkeley",Business Administration,2016
sebastien,CY Tech,Computer Science,2004
sebastien,Grenoble Ecole de Management,Management,2005
sebisaacsinflow,"University of California, Berkeley",Economics And Computer Science,2018
seddona,University of Leeds,Electronics And Communications Engineering,2004
sedds,Arizona State University,Economics,2003
segsadeyemi,University of Lagos,Economics,2014
sehwan,Massachusetts Institute of Technology,Mechanical Engineering,2022
sehwan,University of Notre Dame,Mechanical Engineering,2020
seif_amr,IE Business School,Management,2015
seif_amr,The American University in Cairo,Construction Engineering,2014
seizethecheese,Portland State University,Economics,2015
sejunpark,University of Waterloo,Mechanical Engineering,2013
sekay,Clemson University,Industrial Engineering,2016
sekay,Harvard University,Engineering Sciences,2020
selcuk,Koç University,Computer Engineering,2006
selcuk,Politecnico di Milano,Computer Engineering In Communication,2008
selcuk,Rensselaer Polytechnic Institute,"Information Technology, Management Information Systems",2009
semira,Harvard University Graduate School of Education,Technology And Education,2004
semira,Stanford University,Computer Science,2000
sendai7,The University of Texas at Austin,Molecular Biology,2000
sendai7,"University of California, Berkeley",Molecular And Cell Biology,2007
seregine,Stanford University,Computer Science,2002
serena_ge,University of Waterloo,Computer Science,2027
sergefaguet,Cornell University,Economics,2006
sergefaguet,Stanford University Graduate School of Business,Management,2007
sergioprada,Universidad de Los Andes,Chemical Engineering,2012
sergioromo,Université Jean Moulin,Law,2009
serickson,Oberlin College,Computer Science,2008
setpixel,Harvard University,Criminal Justice And Corrections,1980
setpixel,Street and Sidewalks University,Life,2009
severinlandolt,Università della Svizzera italiana (USI) / University of Lugano,Informatics,2023
severinlandolt,Universität St.Gallen (HSG),Business Administration,2019
sfavaro,Università degli Studi di Padova,Computer Science,2014
sfavaro,Università degli Studi di Padova,Scienze Informatiche,2011
sfischme,TU Vienna,Computer Science,2000
sfischme,University of Salzburg,Computer Science,2003
sfo2mnl,"University of California, Berkeley",Political Economy,2004
sfslim,California College of the Arts,Film/video And Photographic Arts,1991
sgirdhar13,Carnegie Mellon University,Computer Science,2022
sgondala_ycapp,Georgia Institute of Technology,Computer Science,2021
sgondala_ycapp,IIT Bombay,Computer Science,2016
sgridelli,Carnegie Mellon University,"Finance, Marketing And Strategy",2012
sgridelli,Università degli Studi di Milano,Computer Science,2007
sguha,Stanford University,Computer Science,2006
shacharz,Handesaim,"Math, Physics, Technology",2002
shacharz,Holon Institute of Technology,Electronics Engineering,2006
shacharz,Tel Aviv University,Computer Science,2012
shad42,EPITECH,Computer Science,2009
shad42,EPITECH - European Institute of Technology,Information Technology,2009
shadyeltohfa,American University in Cairo,Business Administration,2015
shaeqahmed,University of Michigan College of Engineering,Computer Science,2019
shahan312,"University of California, Los Angeles",Bioengineering,2014
shahary,Ha'Universita Ha'Petuha,Computer Science And Business Management,2011
shahbano,Boston College,Computer Science,2009
shahules,Model Engineering College,Computer Science,2020
shahwarraich,McGill University,"Electrical Engineering, Artificial Intelligence, Business Management",2011
shaileshgupta88,IIT Kharagpur,Mechanical Engineering,2012
shaishavparekh,Virginia Tech,Computer Engineering,2013
shaklakhani,University of Waterloo,Nanotechnology Engineering,2017
shamarathi,SUNY Downstate Medical Center,Adult Psychiatry,2016
shanedosch,University of Pittsburgh,Business And Interdisciplinary Studies,1998
shanelleroman,Yale University,Computer Science,2019
shanemoriah,Stanford University,Computer Science,2009
shankarram123,"National Institute of Technology, Trichy",Instrumentation And Control Engineering,2011
shantanugangal,IIT Bombay,Computer Science And Engineering,2009
shantanugangal,University of Pennsylvania,Entrepreneurship/entrepreneurial Studies,2015
shantanulume,New York University,Computer Science,2016
shantanulume,New York University - Leonard N. Stern School of Business,"Business, Concentrations: Statistics, Finance",2016
sharaticku,The University of Texas at Austin,Plan Ii,2010
shardullavekar,BITS Pilani,Economics,2011
sharmaed,University of Waterloo,Mechatronics Engineering,2011
sharpshoot,"Exeter College, Oxford","Biochemistry Biochemistry, Biophysics And Molecular Biology",2005
sharpshoot,Imperial College London,Infectious Disease,2006
sharpshoot,University of Oxford,Biochemistry,2005
shashank,Carnegie Mellon University,Computer Science,2006
shashank,IIT Bombay,Computer Science,2004
shashank_khanna,"University of California, Los Angeles",Computer Science,2018
shashashasha,Danmarks Designskole,Furniture Design Studio,2006
shashashasha,"University of California, Berkeley",Architecture,2007
shashwata,Wharton Business School,"Marketing And Operations, Palmer Scholar",2017
shashwata,Yale University,Mathematics,2012
shath2018,Flockjay,Sales Honors Program,2019
shath2018,Harvard University,Applied Mathematics,2008
shaunmodi,Rhode Island School of Design,Industrial Design,2007
shaunwei,Nanjing University of Science and Technology,Electronic Engineering,2011
shaunwei,Santa Clara University,Electronic Engineering,2014
shawndrost,Punahou School,High School,2002
shawndrost,Terra.do,Climate Change: Learning For Action,2020
shawndrost,University of Southern California,Computer Science,2006
shawnshivdat,Harvard University,Neuroscience,2022
shazow,University of Toronto,Computer Science,2007
shcallaway,Davidson College,History,2016
shcheng,"University of California, Berkeley",Computer Science,2016
shcheng,University of Toronto,Electrical And Computer Engineering,2009
shea256,Princeton University,"Mechanical Engineering, Computer Science",2012
shedd,Penn State University,Information Sciences And Technology,2007
shehbazvirk,"University of California, Berkeley",Biochemistry/molecular And Cell Biology And Public Health,2023
sheinster,IDC Herzliya,Computer Science,2010
shelden,"University of California, Berkeley",Computer Science,2022
shelvinskyi,National Technical University of Ukraine 'Kyiv Polytechnic Institute',Department Of Mathematical Methods In System Analysis,2012
shenberg,Tel Aviv University,Mathematics And Computer Science,2019
sherryliu987,Stanford University,Computer Science,2026
sherwing,Y Combinator,Yc S20,2020
shifald,Yale University,Economics,2016
shiftb,San Jose State University,"Computer Science, Minor Math, Minor Business Administration",2006
shihanwan1,University of Toronto,Computer Science,2016
shivambharuka,University of Illinois Urbana-Champaign,Computer Engineering,2019
shivanicm,University of Illinois Urbana-Champaign,Electrical Engineering,2019
shivbidani,"VIT University, Vellore",Computer Science,2018
shivsak,Columbia University,"Computer Science, Economics",2018
shk,IIT Roorkee,Computer Science,2012
shmackson,University of Southern California,"Bs Arts, Technology And The Business Of Innovation",2019
shnippi,ETH Zurich,Artificial Intelligence,2025
shnippi,Universität  Zürich | University of Zurich,Artificial Intelligence,2021
shnraj,"University of California, Berkeley",Electrical Engineering And Computer Science,2014
shoaibkh,Lahore University of Management Sciences,Mathematics,2009
shobhs123,Tufts University,Biology And Psychology,2016
sholls,Babcock University,Computer Science,2006
shouryalala,Manipal Institute of Technology,Computer Science And Engineering,2018
shousri,"Rutgers, The State University of New Jersey","Computer Science, Economics",2000
shravan,Stanford University,Computer Science,2011
shreyasnag,IIT Bombay,Electrical Engineering,2007
shreyasnag,"Indian Institute of Management, Bangalore","Business Administration And Management, General",2010
shrig94,Massachusetts Institute of Technology,Computer Science,2011
shrig94,Massachusetts Institute of Technology,Mathematics And Computer Science,2012
shrig94,Midwestern State University,"Mathematics, Computer Science",2008
shrimalpreeti,Harvard Business School,General Management,2015
shrimalpreeti,IIT Delhi,Biotechnology,2009
shrisukhani,University of Minnesota,Computer Science,2019
shrutis,Johns Hopkins University,Urban Education,2013
shrutis,University of North Carolina at Chapel Hill,"Political Science, Entrepreneurship",2011
shuangly,Carnegie Mellon University,Computer Science,2016
shubdotroot,"Birla Institute of Technology & Science, Pilani",Chemical Engineering,2016
shubham040592,"Indian Institute of Technology, Ropar",Computer Science,2014
shubham_mittal,IIT Delhi,Computer Science And Engineering,2008
shubhamrana,Indian Institute of Science (IISc),Physics,2020
shubhinigam,University of Pennsylvania,Computer Science And Economics,2012
shuli,Nankai University,Biotechnology,2010
shuli,Penn State University,Plant Biology,2016
shunpang,University of Cambridge,Medicine,2018
shunpang,University of Cambridge,Natural Sciences,2015
shuo888,Stanford University,Management Science And Engineering,2008
shuo888,"University of California, Berkeley","Mechanical Engineering, Materials Science",2007
shuyinz,Stanford University,Biomedical Engineering,2018
shuyinz,"University of Minnesota, Twin Cities",Biomedical Engineering,2015
shykes,EPITECH,Information Technology,2006
shykes,IFIP,Information Technology,2005
siamakfrey,University of Toronto,Computer Science,2015
sibeshk96,BITS Pilani,Physics,2018
sidcidambi,Stanford University,Ba,2012
siddhantujjain,IIT Delhi,Computer Science And Engineering,2013
siddseethepalli,Massachusetts Institute of Technology,Computer Science,2018
sidgarimella,Franklin W. Olin College of Engineering,Computer Science,2020
sidmetaliya,K. K. Wagh Polytechnic,Electronics And Telecommunication,2013
sidmetaliya,Sandip Foundation,Electronics And Telecommunication,2016
sidmetaliya,St Lawrence High School,Secondary School Education,2010
sidneyrema,University of Nairobi,Medicine,2013
sidpremkumar1,Boston University,Computer Science,2020
sidshocker,"Birla Institute of Technology, Mesra",Computer Science,2016
sidshocker,CFA Institute USA,Finance,2019
sidshocker,"Indian School of Business, Hyderabad",Finance And Strategy,2022
sidviswanathan,Carnegie Mellon University,"Mechanical Engineering, Biomedical Engineering",2006
siggelabor,Hyper Island,Frontend Developer,2021
siggi,Virginia Tech,Computer Science,2013
silverrc21,Massachusetts Institute of Technology,"Electrical Engineering And Computer Science, Mathematics",2010
silyfever,Tuck School of Business at Dartmouth,Business Administration,2011
sim_123,Panjab University,Computer Science,2013
simon_ward,University of Cape Town,Mechanical Engineering,1997
simonborrero2,EADA Business School,Strategy,2010
simonborrero2,Massachusetts Institute of Technology,Strategy And Innovation / Execution,2015
simonborrero2,Universidad de Los Andes,Economics,2007
simonedisomma,Università degli Studi di Napoli Federico II,Management Engineering,2008
simonhuang007,Swedish Institute Management Program,Sustainable Business And Leadership,2016
simonkubica,"University of Technology, Sydney",Finance And Economics,2018
simonlind,IT University of Copenhagen,Digital Design And Communication,2016
simonlind,IT University of Copenhagen,Digital Media And Design,2014
simont1,Massachusetts Institute of Technology,Chemical Engineering,2001
simont1,Massachusetts Institute of Technology,Chemical Engineering And Economics,2000
simonvaliu,Savannah College of Art & Design,Industrial Design,2014
simonw,University of Bath,Computer Science,2005
simonwhite87,The Australian National University,Information Systems And Tools For New Media,2009
simplecitizen,Brigham Young University,Accounting,2015
sinalet,University of Alberta,Computer Science,2006
sinalet,University of Alberta,Psychology,2007
sinanismail,University of Science. Malaysia,Applied Mathematics,2003
sinanku,Punjab Engineering College,Electrical,2012
sinaulan,Universitas Pelita Harapan,Informatics,2008
sindhujajeyabal,Birla Institute of Technology and Science,Computer Science,2008
sindhujajeyabal,"University of California, Berkeley",Data Science / Ict For Development,2016
sinoptik,Odessa State Environmental University,Information Management Systems And Technologies,2005
siobhan,University of Washington,Computer Science,2003
sipraladdha,Emory University,Psychiatry,2015
sipraladdha,New York University,History,2007
sipraladdha,State University of New York at Buffalo,Biomedical Sciences,2011
sismanis,The University of British Columbia,Computer Software Engineering,2015
sjakati98,"University of Massachusetts, Amherst",Mathematics And Computer Science,2019
sjanisch,Universität Hamburg,Information Systems,2012
sjanisch,Warwick Business School,Finance And Information Technology,2013
sjbase,Lehigh University,Computer Science And Business,2008
sjhcockrell,Brown University,Literary Arts,2008
sjkoelle,Columbia University,Mathematics,2013
sjkoelle,University of Washington,Statistics,2021
sjsanskar,IIT Bombay,Mechanical Engineering,2018
sjtbrowne,University of Cambridge,"Philosophy, Psychology",2014
skaramchati,International Institute of Information Technology,Computer Science,2016
skarri,"Indian School of Business, Hyderabad",General Management,2012
skarri,"International Institute of Information Technology, Hyderabad",Computer Science,2002
skassam21,University of Toronto,Engineering Science,2018
skcheetah,"University of California, Berkeley",Data Science And Economics,2021
skdoo,Stanford University,Mechanical Engineering,2028
skdoo,"University of California, Berkeley","Mechanical Engineering, Electrical Engineering And Computer Science",2005
skeiru,Jomo Kenyatta University of Agriculture and Technology,Computer Technology,2007
skeiru,SANS Technology Institute,Penetration Testing,2016
skeiru,Strathmore University,Information Systems,2003
skellystudios,Imperial College London,Advanced Computing,2014
skeptrune,The University of Texas at Austin,Computer Science,2022
skeshava1983,Visvesvaraya Technological University,Computer Science Engineering,2006
skierx,Rochester Institute of Technology,Computer Science,2005
skiller3,Tufts University,"Computer Science, Psychology",2009
skin58,Columbia University,Dermatology,1991
skin58,Tel Aviv University,Medicine,1982
skndr,University of Washington,Aeronautics And Astronautics,2009
skndr,University of Washington,Aerospace Engineering,2010
skp1995,IIT Kharagpur,Computer Science And Engineering,2018
skralj,University of Ljubljana,Computer Science,2012
skull8888888,KAIST(Korea Advanced Institute of Science and Technology),Electrical Engineering,2023
skull8888888,The Hong Kong Polytechnic University,Electrical And Electronics Engineering,2018
skwijeratne,University of Ariona,Computer Engineering,2000
skwijeratne,University of Arizona,Computer Engineering,1998
skylander,Carnegie Mellon University,Language And Information Technologies,2016
skylander,Community College of Allegheny County,Aviation,2013
skylander,University of Illinois Urbana-Champaign,Computer Science,2010
slaks,Yeshiva University,"Math, Computer Science",2012
slewis,Virginia Polytechnic Institute and State University,Computer Engineering,2006
slongay,The University of Calgary,Computer Science,2009
slongay,University of Calgary,"Computer Science, Biological Modelling And Visualization",2014
sloughj,Columbia University,Astrophysics,1981
smaddali,NIT Warangal,Electronics And Communications Engineering,1997
smaddali,Stanford University,Computer Science,2006
smalhi,The University of British Columbia,Engineering Physics,2015
smarashlyan,Yerevan State University,Information And Applied Mathematics,2012
smargozzini,Pontificia Universidad Católica de Chile,Ciencias De La Computación,2019
smargozzini,Università di Bologna,Ciencias De La Computación,2018
smarthelio,"Birla Institute of Technology and Science - Pilani, Goa",Physics,2010
smarthelio,Ecole polytechnique fédérale de Lausanne,Civil And Environmental Engineering,2015
smarthelio,Eindhoven University of Technology,Electrical Engineering,2012
smarthelio,KTH Royal Institute of Technology,Energy Systems,2011
smash1213,Stanford University,Biological Sciences,2008
smcbride,Franklin W. Olin College of Engineering,Electrical And Computer Engineering,2007
smeet-theya,IIT Bombay,Civil Engineering And Physics,2012
smehta36,University of Pittsburgh,Bioengineering,2010
smiagkyi,Taras Shevchenko National University of Kyiv,Economics,2012
smilliken,"University of California, Berkeley",Mathematics,2009
smis,Collège des Ingénieurs,Engineering,2018
smis,Maastricht University,Data Science,2017
smis,Universität Bielefeld,Bioinformatics And Biostatistics,2013
smis,Universität Bielefeld,Bioinformatics And Genome Research,2011
smiti,"University of California, Los Angeles",Computer Science,2012
smiti,University of Mumbai,Computer Science,2010
smiti,Y Combinator,S21,2021
smock,"University of California, Berkeley",Physics,2007
smock,University of Cambridge,Philosophy,2003
smock,University of Illinois Urbana-Champaign,Physics,2002
smontgomerie,University of Alberta,Computer Science,2004
smyu03,University of Waterloo,Computer Science,2023
snackbardan,Tufts University,Political Science,2020
snaimi,"University of California, Los Angeles",Political Science And Government,2008
snajmark,Ecole Centrale Paris,"Applied Mathematics, Computing, Physics, Chemistry",2018
snajmark,Lycée Louis-le-Grand,"Mathematics, Computing, Physics, Chemistry",2016
snajmark,Stanford University,"Management Science And Engineering, Computer Science",2020
sneakerfreak,DTU - Technical University of Denmark,Computer Science,2000
sneha_squasher,Yale University,Computer Science,2024
snehaku,University of Pittsburgh - Joseph M. Katz Graduate School of Business,"Logistics, Materials, And Supply Chain Management",2016
snehanshugandhi,IIT Bombay,Metalurgical Engineering And Materials Science,2007
snehanshugandhi,"Indian School of Business, Hyderabad",Finance And Stragegy,2012
snehashethdost,HEC School of Management / HEC Paris,Management,2007
snehashethdost,The University of Texas at Austin,"Plan Ii Honors, Finance",2008
snehashethdost,"University of California, Berkeley, Haas School of Business",Social Entrepreneurship,2016
snehilbuxy,IIT Bombay,Mechanical Engineering,2012
snigdha,Flatiron School,"Web Development, Immersive",2017
snktagarwal,Ecole polytechnique fédérale de Lausanne,Internship,2011
snktagarwal,IIT Kharagpur,Computer Science And Engineering,2012
snowypine,University Of Maryland,Computer Science,2020
snp,Palm Beach Atlantic University,Pharmacy,2007
sobelk2,Rensselaer Polytechnic Institute,Mechanical Engineering,2012
sobellian,Rensselaer Polytechnic Institute,Electrical Engineering / Computer Systems Engineering,2014
sobotka,Harvard Business School,Medical Administration,2000
sobotka,Northwestern University,Cardiovascular Diseases,1986
sobotka,Stanford University,Chemistry,1976
sobotka,University of Illinois College of Medicine,Doctor Of Medicine,1980
sobotka,University of Michigan,Internal Medicine,1983
socha,Hogeschool van Amsterdam,Architecture And Urbanism,2008
sochanger,MIT School of Architecture and Planning,Urban Planning,2010
sochanger,Massachusetts Institute of Technology,Business,2010
sochanger,Northeastern University,Philosophy/african American Studies,2005
socmoth,Georgia Institute of Technology,Eletrical Engineering,2005
sofiachen,The University of Western Ontario,"Business Administration, Management And Operations",2011
sohelrana,Bangladesh University of Engineering and Technology,Urban And Regional Planning,2010
sohelrana,TU Dortmund University,Regional Development Planning And Management,2014
sohelrana,Universidad Austral de Chile,Regional Development Planning And Management,2015
sohil,"University of California, Berkeley",Electrical Engineering And Computer Science,2019
sojanofficial,Nirmala College,Computer Applications,2014
sokrates,Karlsruher Institut für Technologie (KIT),Computer Science,2016
solfox,"University of California, Berkeley","Cognitive Science, Psychology",2004
solonitsyn,Imperial College London,"Entrepreneurship, Venture Capital",2007
solonitsyn,Nizhniy Novgorod State Technical University named after R.Y. Alekseev,Physics,2004
somesaba,"University of California, Berkeley",Bioengineering,2012
somilmathur14,"Bits-Pilani,Dubai",Computer Science,2020
sommohapatra,University of Virginia,"Economics, Computer Science",2023
sonakshinathani,IIIT Hyderabad,Computer Sciennce,2015
sonalipnaik,Colorado School of Mines,Geophysics,2017
sonalipnaik,IIT Kharagpur,Geophysics,2014
sonalipnaik,University of Washington,Applied Mathematics And Data Science,2018
soncojmk,Penn State,Computer Engineering,2015
sonia95sharma,"University of California, Berkeley",Computer Science,2017
sonofabell,California Institute of Technology,Electrical Engineering,2005
sononeashish,IIT Bombay,Computer Science,2015
soohoonchoi,Georgia Institute of Technology,Computer Science And Mathematics,2023
soomgo,Emory University,"Finance, Organization And Management",2007
sootty,National University of Singapore,Lifesciences,2005
sooyungcho82,Carnegie Mellon University,Software Engineering,2009
sooyungcho82,Cornell University,Computer Science,2005
sooyungcho82,Johns Hopkins University,Computer Science,2004
sophienovati,Carnegie Mellon University,Computer Science,2012
sophiesecaf,University of Edinburgh,Politics And Sociology,2012
soraya,University of Southern California,Electrical Engineering,2010
soraya,University of Southern California,Mathematical Finance,2009
sorenberg,Grinnell College,Computer Science,2008
sorent,Danmarks Medie- og Journalisthøjskole,Media Production And Management,2010
sorent,Harvard University,Fabrication Of Microfluidic Devices,2015
sorent,IT,E,2014
sortedAdam,University of Copenhagen,Computer Science,2019
sortedAdam,University of Copenhagen,Economics,2016
sortedFred,DTU - Technical University of Denmark,Network Technology And Computer Science,2017
sortedFred,Københavns Universitet,Computer Science,2020
soteriskin,Harvard Graduate School of Arts and Sciences,Biological Chemistry And Molecular Pharmacology,2010
soteriskin,Stanford University Graduate School of Business,Managing Teams For Innovation And Success,2017
soundandfeury,Belmont University,"Audio Engineering Technology, Mathematics",2009
soundandfeury,Georgia Institute of Technology,Computer Science,2011
sourabh03agr,IIT Bombay,Electrical Engineering,2015
sourabhdeorah,Thapar University,Computer Science And Engineering,2010
sourabhdeorah,"University of California, Los Angeles",Computer Science,2012
sourav9091,National Institute of Technology Tiruchirappalli,Instrumentation And Control Engineering,2013
spacemarine1,Y Combinator,W11 Humble Bundle,2011
spacemarine1,Yale University,Economics,2008
spacemonkey92,National University of Singapore,Iss System Analysis,2015
spacemonkey92,"VIT University, Vellore",Electrical Engineering,2013
spahl,EPITECH,Computer Science,2009
spahl,Université Paris Nanterre,"Economics, English",2004
spaky,McGill University,Electrical And Electronics Engineering,2012
sparcity,Peking University,Mandarin Chinese,2011
sparcity,Stanford University,Computer Science,2014
spbehr,Tufts University,"International Relations, Entrepreneurship",2014
spderosso,Massachusetts Institue of Technology,Computer Science,2020
spencercassidy,Quinnipiac University,Broadcast Journalism And Political Science,2013
spencercassidy,Quinnipiac University,Business Management,2014
spenny2112,Washington University in St. Louis,Computer Engineering,2012
spez,University of Virginia,Computer Science,2005
sphw,The University of Auckland,Computer Science And Physics,2021
spinwang,Cornell University,Physics And Electrical Engineering,2012
spinwang,Massachusetts Institute of Technology,Electrical Engineer And Computer Science,2015
spoor2709,Propulsion Academy Zürich,Full Stack Software Engineering,2019
spoor2709,SIT Academy,Full Stack Software Engineering,2019
spoor2709,SIT Learning,Full Stack Software Engineering,2019
spriha,University of Pennsylvania,Computer Science,2016
squant0,Santa Clara University,Web Development And Computer Science,2015
sradu,Cisco,Networking,2006
srao12,The University of New Mexico,Health/health Care Administration/management,2017
srao12,University of Minnesota,Health/health Care Administration/management,2019
sratner,Stanford University,Electrical Engineering,2008
sratner,University of Sydney,Biochemistry,2003
sraza007,Stanford University,Computer Science,2023
sreeharips,AMRITA VISHWA VIDYAPEETHAM,Computer Science,2006
sreeharips,Bharathiar University,Computer Science,2004
sreejitj,CDAC,Computers,2007
sreejitj,St. Marks Sr. Sec Public School,All,1999
srekhi,Rice University,Engineering,2016
sri-teja,IIIT Hyderabad,Artificial Intelligence,2019
sri-teja,IIIT Hyderabad,Computer Science,2017
sriharsha_g,"University of California, Berkeley",Computer Science,2022
srijankedia,IIT Kharagpur,Computer Science And Engineering,2013
srijankedia,Stanford University,Computer Science,2019
srijankedia,University Of Maryland,Computer Science,2017
srikanth89,Johns Hopkins University,Information Security,2012
srikary,National Institute of Technology Karnataka,Computer Science,2005
srikary,The Ohio State University,Machine Learning,2009
srini,Stanford University,"Computer Science, Economics",2003
srini24,BITS Pilani,Mechanical Engineering,2018
srinivas_reddy,IIT Kharagpur,Electrical,2011
srinivasch,Andhra University,Commerce,1990
srinivasch,MCSD in .Net,Software,2003
srinivasch,SMU,Systems,2005
srinjoym,The University of Texas at Austin,Electrical And Computer Engineering,2019
sriram_sandhya,"Institute of Systems Sciences, National University of Singapore",Project Management,2017
sriram_sandhya,Loyola College,Clinical Laboratory Science/medical Technology/technologist,2006
sriram_sandhya,Nanyang Technological University,Biological Sciences,2013
sriram_sandhya,The Institute of Company Secretaries of India,Company Secretary,2006
sriram_sandhya,University of Madras,Biotechnology,2008
sriram_sandhya,University of Madras,Microbiology,2006
srirambhargavk,IIT Bombay,Computer Science,2013
sriramso,Stanford University,Computer Science,2020
sriramso,University of Southern California,Computer Science,2018
sriyam,"University of California, Davis",Bachelor’s Degree,2019
sriyansh7,NIT Surat,Computer Science,2018
sriyanshraven,Georgia Institute of Technology,Human Computer Interaction,2020
sriyanshraven,NIT Surat,Computer Science,2014
srsinha,Harvard University,Economics,1997
srsinha,Stanford University School of Medicine,"Internal Medicine, Gi",2014
srsinha,"University of California, San Francisco",Medicine,2007
srustagi,"University of California, Santa Cruz",Computer Science And Statistics,2021
srvgandhi,MDI Gurgaon,Mba In Finance,2011
srvgandhi,NIT Kurukshetra,Electronics And Communication,2009
ss9111,Imperial College Business School,Healthcare Management,2015
ss9111,Imperial College London,Medicine,2017
sshb,Moscow State University,Particle Physics,2015
sshivam,University of Michigan,Aerospace Engineering,2019
ssiclait,Columbia University,Computer Science,2018
ssiddhanti,Massachusetts Institute of Technology,Mathematics,2010
ssindhi,Brown University,Mechanical Engineering,2015
sskates,Massachusetts Institute of Technology,Bioengineering,2010
ssoni997,DePaul University,Information Technology,2019
ssteber,Boston University,Mechanical Engineering,2011
ssteber,Stanford University,Mechanical Engineering,2013
sstewart2017,University of New Brunswick,Computer Science,2011
sstewart2017,University of Waterloo,Computer Software Engineering,2018
ssteyer,Harvard University,Applied Mathematics,2011
ssteyer,Stanford University,Computational Mathematics And Engineering,2015
ssubra2000,The University of Texas at Austin,"Electrical And Computer Engineering, Business Administration",2022
ssuds,Iowa State University,Mechanical Engineering,2021
ssuds,University of Illinois Urbana-Champaign,Mechanical Engineering,2017
ssuds,University of Washington,Aeronautics And Astronautics,2017
ssyildirim,Ankara University,Biology,2008
ssyildirim,Ankara University,Biopysics,2010
ssyildirim,Keck Graduate Institute,Business Of Bioscience In Bioprocessing,2013
stalluri,Birla Institute of Technology and Science,Electrical Engineering,2003
stalluri,"Birla Institute of Technology and Science, Pilani",Electrical Engineering,2003
stalluri,Indian Institute of Management Ahmedabad,Strategy And Marketing,2009
stalluri,"Indian Institute of Management, Ahmedabad",Strategy And Marketing,2009
stalluri,The Hong Kong University of Science and Technology,"Finance, General",2008
stangolubchik,Dallas College Richland Campus,Biochemistry And Molecular Biology,2009
stangolubchik,Richland College,Biochemistry And Molecular Biology,2009
stangolubchik,The University of Texas at Dallas,Biochemistry And Molecular Biology,2009
stangolubchik,The University of Texas at Dallas,"Business Administration And Management, General",2011
stangolubchik,Y Combinator,Contraforce,2021
stanleytang,Stanford University,Computer Science,2014
staranjeet,"JSS ACADEMY OF TECHNICAL EDUCATION, NOIDA",Computer Science,2015
stcastle,Davidson College,Mathematics,2015
stcastle,University of Washington,Computer Science And Engineering,2017
steele360,Brigham Young University,"Public Relations, Advertising, Applied Communication",2012
stefanheule,Stanford University,Computer Science,2018
stefaniabje,Háskóli Íslands,Mathematics,2011
stefaniabje,Menntaskólinn á Akureyri,Social Sciences,2006
stefaniabje,Reykjavik University,Computer Science,2012
stefaniabje,University of Iceland,Douple Major: Mathematics / Philosophy,2010
stefankalb,Central Washington University,Mathematics,2005
stefanobernardi,Istituto Massimiliano Massimo,Scientific,2005
stefanobernardi,Universidad Autónoma de Madrid,Computer Engineering,2008
stefanobernardi,Università degli Studi di Roma Tre,"Computer, Software Engineering",2009
stefanraghavan,University of Southern California,Aerospace Engineering,2016
